location,date,total_cases_per_million
Afghanistan,2/24/2020,0.126
Afghanistan,2/25/2020,0.126
Afghanistan,2/26/2020,0.126
Afghanistan,2/27/2020,0.126
Afghanistan,2/28/2020,0.126
Afghanistan,2/29/2020,0.126
Afghanistan,3/1/2020,0.126
Afghanistan,3/2/2020,0.126
Afghanistan,3/3/2020,0.126
Afghanistan,3/4/2020,0.126
Afghanistan,3/5/2020,0.126
Afghanistan,3/6/2020,0.126
Afghanistan,3/7/2020,0.201
Afghanistan,3/8/2020,0.201
Afghanistan,3/9/2020,0.201
Afghanistan,3/10/2020,0.201
Afghanistan,3/11/2020,0.276
Afghanistan,3/12/2020,0.276
Afghanistan,3/13/2020,0.276
Afghanistan,3/14/2020,0.351
Afghanistan,3/15/2020,0.502
Afghanistan,3/16/2020,0.628
Afghanistan,3/17/2020,0.653
Afghanistan,3/18/2020,0.653
Afghanistan,3/19/2020,0.653
Afghanistan,3/20/2020,0.602
Afghanistan,3/21/2020,0.602
Afghanistan,3/22/2020,0.854
Afghanistan,3/23/2020,1.004
Afghanistan,3/24/2020,1.054
Afghanistan,3/25/2020,1.858
Afghanistan,3/26/2020,2.008
Afghanistan,3/27/2020,2.284
Afghanistan,3/28/2020,2.661
Afghanistan,3/29/2020,2.862
Afghanistan,3/30/2020,2.862
Afghanistan,3/31/2020,4.167
Afghanistan,4/1/2020,4.82
Afghanistan,4/2/2020,5.899
Afghanistan,4/3/2020,6.753
Afghanistan,4/4/2020,6.778
Afghanistan,4/5/2020,7.506
Afghanistan,4/6/2020,8.46
Afghanistan,4/7/2020,9.213
Afghanistan,4/8/2020,10.619
Afghanistan,4/9/2020,11.146
Afghanistan,4/10/2020,13.079
Afghanistan,4/11/2020,13.079
Afghanistan,4/12/2020,13.932
Afghanistan,4/13/2020,15.238
Afghanistan,4/14/2020,16.694
Afghanistan,4/15/2020,19.33
Afghanistan,4/16/2020,19.932
Afghanistan,4/17/2020,21.212
Afghanistan,4/18/2020,22.794
Afghanistan,4/19/2020,23.421
Afghanistan,4/20/2020,25.003
Afghanistan,4/21/2020,25.756
Afghanistan,4/22/2020,27.413
Afghanistan,4/23/2020,29.521
Afghanistan,4/24/2020,30.777
Afghanistan,4/25/2020,33.387
Afghanistan,4/26/2020,36.726
Afghanistan,4/27/2020,38.433
Afghanistan,4/28/2020,42.751
Afghanistan,4/29/2020,45.864
Afghanistan,4/30/2020,45.864
Afghanistan,5/1/2020,54.499
Afghanistan,5/2/2020,61.98
Afghanistan,5/3/2020,61.98
Afghanistan,5/4/2020,61.98
Afghanistan,5/5/2020,61.98
Afghanistan,5/6/2020,80.933
Afghanistan,5/7/2020,85.15
Afghanistan,5/8/2020,89.443
Afghanistan,5/9/2020,89.443
Afghanistan,5/10/2020,110.505
Afghanistan,5/11/2020,117.082
Afghanistan,5/12/2020,124.688
Afghanistan,5/13/2020,124.688
Afghanistan,5/14/2020,134.026
Afghanistan,5/15/2020,151.95
Afghanistan,5/16/2020,160.711
Afghanistan,5/17/2020,166.56
Afghanistan,5/18/2020,177.53
Afghanistan,5/19/2020,192.166
Afghanistan,5/20/2020,204.466
Afghanistan,5/21/2020,217.796
Afghanistan,5/22/2020,231.352
Afghanistan,5/23/2020,249.828
Afghanistan,5/24/2020,267.802
Afghanistan,5/25/2020,280.655
Afghanistan,5/26/2020,299.156
Afghanistan,5/27/2020,312.912
Afghanistan,5/28/2020,328.903
Afghanistan,5/29/2020,345.045
Afghanistan,5/30/2020,364.726
Afghanistan,5/31/2020,381.068
Afghanistan,6/1/2020,397.536
Afghanistan,6/2/2020,416.162
Afghanistan,6/3/2020,435.617
Afghanistan,6/4/2020,451.282
Afghanistan,6/5/2020,478.343
Afghanistan,6/6/2020,492.953
Afghanistan,6/7/2020,512.81
Afghanistan,6/8/2020,527.244
Afghanistan,6/9/2020,534.901
Afghanistan,6/10/2020,557.996
Afghanistan,6/11/2020,576.773
Afghanistan,6/12/2020,593.241
Afghanistan,6/13/2020,607.198
Afghanistan,6/14/2020,623.867
Afghanistan,6/15/2020,642.97
Afghanistan,6/16/2020,645.631
Afghanistan,6/17/2020,676.784
Afghanistan,6/18/2020,688.407
Afghanistan,6/19/2020,701.988
